GRID_NO,LATITUDE,LONGITUDE,ALTITUDE,DAY,TEMPERATURE_MAX,TEMPERATURE_MIN,TEMPERATURE_AVG,WINDSPEED,VAPOR_PRESSURE,PRECIPITATION,ET0,RADIATION,DATE
101094,50.69632,4.56668,130,20160630,19.7,13.9,16.8,4.8,16.0,3.5,2.61,13502,2016-06-30
101094,50.69632,4.56668,130,20160701,20.2,15.3,17.7,5.0,16.3,2.3,3.11,15985,2016-07-01
101094,50.69632,4.56668,130,20160702,17.9,12.0,14.9,4.9,11.8,2.5,3.73,20332,2016-07-02
101094,50.69632,4.56668,130,20160703,18.4,10.4,14.4,3.0,12.5,1.2,2.79,14950,2016-07-03
101094,50.69632,4.56668,130,20160704,22.1,12.3,17.2,1.7,14.9,0.7,3.28,18014,2016-07-04
101094,50.69632,4.56668,130,20160705,19.8,14.3,17.0,3.8,14.4,0.1,3.02,13730,2016-07-05
101094,50.69632,4.56668,130,20160706,20.1,11.6,15.8,2.2,12.9,0.0,3.4,19045,2016-07-06
101094,50.69632,4.56668,130,20160707,23.5,11.3,17.4,1.5,14.2,0.0,3.75,21063,2016-07-07
101094,50.69632,4.56668,130,20160708,23.1,14.7,18.9,4.0,15.2,0.1,3.72,15606,2016-07-08
101094,50.69632,4.56668,130,20160709,24.8,15.3,20.1,3.2,15.96,0.0,4.46,21290,2016-07-09
101094,50.69632,4.56668,130,20160710,28.1,16.8,22.4,3.9,16.06,0.0,5.39,21121,2016-07-10
101094,50.69632,4.56668,130,20160711,21.8,15.5,18.6,5.0,13.9,0.1,4.11,16316,2016-07-11
101094,50.69632,4.56668,130,20160712,20.9,12.3,16.6,3.0,13.2,4.5,3.67,19445,2016-07-12
101094,50.69632,4.56668,130,20160713,17.5,11.1,14.3,2.9,12.5,5.0,2.72,15065,2016-07-13
101094,50.69632,4.56668,130,20160714,18.5,11.1,14.8,3.1,12.0,3.1,3.25,17949,2016-07-14
101094,50.69632,4.56668,130,20160715,22.4,9.5,15.9,2.4,12.0,0.0,3.99,22147,2016-07-15
101094,50.69632,4.56668,130,20160716,24.1,13.8,18.9,2.9,16.2,0.0,3.34,15136,2016-07-16
101094,50.69632,4.56668,130,20160717,23.9,15.6,19.7,2.4,18.1,0.0,3.33,16906,2016-07-17
101094,50.69632,4.56668,130,20160718,27.5,16.8,22.1,1.4,17.5,0.0,4.71,24778,2016-07-18
101094,50.69632,4.56668,130,20160719,30.7,17.1,23.9,1.4,17.6,0.0,5.28,26507,2016-07-19
101094,50.69632,4.56668,130,20160720,32.5,19.3,25.9,3.1,18.1,0.1,6.22,24579,2016-07-20
101094,50.69632,4.56668,130,20160721,26.3,17.2,21.7,2.7,17.63,0.2,4.52,21865,2016-07-21
101094,50.69632,4.56668,130,20160722,25.2,16.6,20.9,2.4,18.87,17.3,3.47,16695,2016-07-22
101094,50.69632,4.56668,130,20160723,23.0,16.9,20.0,2.8,20.13,3.4,2.33,11137,2016-07-23
101094,50.69632,4.56668,130,20160724,25.2,15.4,20.3,2.1,17.1,0.0,4.19,22478,2016-07-24
101094,50.69632,4.56668,130,20160725,23.9,16.2,20.1,2.5,17.53,0.0,3.13,14298,2016-07-25
101094,50.69632,4.56668,130,20160726,22.3,14.4,18.3,1.9,14.9,0.0,3.38,17859,2016-07-26
101094,50.69632,4.56668,130,20160727,21.2,12.8,17.0,3.3,15.47,3.5,2.85,14808,2016-07-27
101094,50.69632,4.56668,130,20160728,22.6,16.0,19.3,3.3,16.57,3.5,3.52,17230,2016-07-28
101094,50.69632,4.56668,130,20160729,22.3,14.7,18.5,3.6,16.67,0.2,3.15,15745,2016-07-29
101094,50.69632,4.56668,130,20160730,21.5,13.7,17.6,2.9,15.43,0.0,2.9,14300,2016-07-30
101094,50.69632,4.56668,130,20160731,21.0,14.6,17.8,2.5,14.13,0.5,3.26,16063,2016-07-31
101094,50.69632,4.56668,130,20160801,20.7,11.2,16.0,2.5,13.33,5.9,3.01,16116,2016-08-01
101094,50.69632,4.56668,130,20160802,17.3,12.9,15.1,5.1,17.07,13.8,0.97,6385,2016-08-02
101094,50.69632,4.56668,130,20160803,18.8,16.6,17.7,5.1,18.9,15.5,1.19,4521,2016-08-03
101094,50.69632,4.56668,130,20160804,19.7,14.2,17.0,4.3,14.97,0.0,2.78,13047,2016-08-04
101094,50.69632,4.56668,130,20160805,20.6,12.3,16.4,3.8,15.13,1.8,2.65,13730,2016-08-05
101094,50.69632,4.56668,130,20160806,21.7,11.8,16.7,3.9,14.53,0.0,3.37,18490,2016-08-06
101094,50.69632,4.56668,130,20160807,23.8,11.9,17.9,4.4,16.4,0.0,3.2,15262,2016-08-07
101094,50.69632,4.56668,130,20160808,21.2,13.5,17.4,3.9,13.87,0.4,3.31,14882,2016-08-08
101094,50.69632,4.56668,130,20160809,19.2,11.0,15.1,2.6,11.3,0.1,3.31,18483,2016-08-09
101094,50.69632,4.56668,130,20160810,16.2,9.9,13.0,2.3,11.07,1.9,2.24,12985,2016-08-10
101094,50.69632,4.56668,130,20160811,14.8,7.4,11.1,3.9,13.07,3.4,1.12,8574,2016-08-11
101094,50.69632,4.56668,130,20160812,23.1,13.9,18.5,3.7,16.67,0.0,2.97,14475,2016-08-12
101094,50.69632,4.56668,130,20160813,23.8,12.6,18.2,3.1,15.33,0.0,3.8,21009,2016-08-13
101094,50.69632,4.56668,130,20160814,22.9,12.3,17.6,2.1,15.37,0.0,3.11,17567,2016-08-14
101094,50.69632,4.56668,130,20160815,21.7,11.9,16.8,3.1,13.5,0.0,3.63,20424,2016-08-15
101094,50.69632,4.56668,130,20160816,23.5,11.1,17.3,3.2,13.73,0.0,3.95,21893,2016-08-16
101094,50.69632,4.56668,130,20160817,25.8,11.3,18.5,2.6,13.47,0.0,4.24,22421,2016-08-17
101094,50.69632,4.56668,130,20160818,24.7,13.6,19.2,1.8,14.2,0.1,3.46,18200,2016-08-18
101094,50.69632,4.56668,130,20160819,22.0,14.1,18.0,2.9,16.95,0.9,1.97,7800,2016-08-19
101094,50.69632,4.56668,130,20160820,22.3,14.9,18.6,4.6,14.4,3.7,3.88,18350,2016-08-20
101094,50.69632,4.56668,130,20160821,18.5,12.9,15.7,4.8,14.4,7.3,2.23,10400,2016-08-21
101094,50.69632,4.56668,130,20160822,24.5,13.4,19.0,3.2,15.15,0.0,3.59,17700,2016-08-22
101094,50.69632,4.56668,130,20160823,28.6,13.3,20.9,2.3,15.75,0.0,4.28,21650,2016-08-23
101094,50.69632,4.56668,130,20160824,32.4,17.4,24.9,2.6,15.93,0.0,5.21,21714,2016-08-24
101094,50.69632,4.56668,130,20160825,32.5,17.2,24.8,2.6,18.07,0.0,5.08,21453,2016-08-25
